job_titles,descriptions,companies,salaries
Electronic Trading Operations Representative - Singapore,"Who we are:
In global markets, buy-side and sell-side professionals strive to achieve the best execution across multiple asset classes. Our Electronic Trading Operations (ETO) team is responsible for ensuring the implementation, stability, and reliability of those offerings.

We implement new connections and detect, analyze, and resolve issues impacting applications and connectivity with clients, vendors, exchanges, brokers, and ATS venues. We ensure seamless performance with our Electronic Trading platforms through interaction with Bloomberg Product areas, Network Operations, Engineering, and Bloomberg's clients. We are ambitious and set ourselves tough business goals. We are a meritocracy, where everyone has a voice - not a job title. Working with people you trust, respect, and can collaborate with is more important than titles or position.

Bloomberg is so much more than the products and services we deliver to our customers. We use data and analytics to organize, understand and improve our world. We give back - through the vast majority of our profits going to Bloomberg Philanthropies and through our countless volunteer projects. We bring out the best in the communities around us too. You can do amazing work here. Work you couldn't do anywhere else.

Who you are:
You come to work with a purpose. You work fast and hard, understand what urgency means to a trader, are curious and take pride in being customer service driven. You love being part of a team where clients count on you every day, and you challenge and support your colleagues to innovate, learn and deliver the best service possible.

What's the role?

As an Electronic Trading Operations Representative, you're essential in minimizing impact and mitigating financial risk for our clients across their electronic trading solutions. They'll depend on you to ensure a smooth transition process post sale through to solution go-live.

You'll be a key part of our team at the frontline providing specialized technical support and responsible for implementing new electronic trading connections for Bloomberg's clients.

We'll trust you to:
Analyze and troubleshoot issues related to our Electronic Trading products in a production environment

Build and certify new connections, configure applications for these connections, and complete post-production testing

Handle client communication using language appropriate for non-technical users

Prevent production incidents and outages by partnering with Engineering and Product teams to design and implement future system and Product changes

Examine root cause statistics for trends in production issues

Design improvements to existing and new Configuration, Monitoring, and Troubleshooting Support tools

Help prioritize and be responsible for the Product backlog

Conduct capacity planning by analyzing client flows and trading statistics

Help develop metrics for internal consumption and trading system benchmarking

Help design and document trading system recovery procedures

Provide client feedback to the Product team collated through the certification process

Work closely with our clients and our internal Product, Tradedesk, and Engineering groups to facilitate expectations, influence and expedite implementation and resolution of issues

You'll need to have:
4-7+ years working experience in similar application support roles

The ability to support customers effectively in English

A technical curiosity with a passion for customer service and a genuine interest in financial markets

Experience in UNIX and Linux operating systems and commands, troubleshooting LAN / WAN, and in Middleware connectivity (TCP/IP, MQ, UDP)

Exposure to scripting languages, such as Perl, Bash, Korn, and/or Python

Knowledge of Message Protocols; FIX would be a nice to have

Proven history of solving complex problems with a keen eye for detail

A willingness to learn and apply knowledge

Superb communication and client facing skills

An ability to handle your time effectively and multi-task in a fast paced environment

Good project management skills for executing customer driven short term projects and implementation requests

Ability to remain calm working with urgency, multi-task, be a team-player, be client focused, and to adapt in a dynamic changing environment

We'd love to see:
A Computer Science or Technology related degree

Good working product knowledge of Equity, Options, Futures, Fixed Income and FX market workflows and any exposure to Broker/Dealers, Hedge Funds and Regulatory Reporting requirements

The ability to support customers effectively in Mandarin

Experience with SQL or transactional databases and operating large structured and un-structured datasets (such as indexed data and delimited complex system logs)

If this sounds like you:
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are, but in the meantime feel free to have a look at this: https://www.bloomberg.com/company/ .

Bloomberg is an equal opportunities employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Bloomberg,None
Global Operations Strategy Senior Advisor,"Dell Technologies is built on the combined capabilities Dell, EMC, Pivotal, RSA, SecureWorks, Virtustream and VMware. Together, the company has a combined annual revenue of $74 billion, 20,000 patents and patents applications and 140,000 employees worldwide in 180 locations. Companies under the umbrella of Dell Technologies are all leaders in their respective areas. Dell is #1 for PC shipments in US, EMC is #1 for x86 virtualization software worldwide and VMware is #1 for cloud system management software.
Besides a market leader, Dell is renowned for its supply chain innovation and is consistently recognized as having one of the top five supply chains in the world. Yet, changes in the industry and the internal organization require us to constantly redesign our supply chain to optimize customer experience, efficiency and risk mitigation.
Global Operations Strategy team reports to the Chief Supply Chain Officer and is responsible for designing and implementing advance supply chains across Dell’s lines of business. The team in Singapore consists of high-profile members who were ex-consultants from McKinsey, BCG and A.T. Kearney and alumni from Harvard, MIT, INSEAD, Yale and Princeton.
Description of Position
As an analyst in our Global Operations Strategy organization, you will have the opportunity to contribute to projects such as global operations footprint design, supply chain optimization, procurement strategy and the management of innovation and technology in the supply chain. Working as a team, you are expected to aid Dell’s executives to drive key business decision. As part of an incubator of future leaders at the company, you will be developed with the end goal of moving on to a leadership role within the organization.
The position offers:
Opportunity to drive cutting-edge strategies for one of the industry’s top supply chains
Access to executive leadership team at a Fortune 50 company
Opportunity to work with a highly motivated team that invests in your development
A commitment to diversity and inclusion
Competitive compensation including bonus plans & a great benefit package
Requirements
Key skills include:
Support business strategy development
Distinctive problem solving and analytical thinking
Conduct data analysis and bench-marking
Effective project and change management skills
Education/Experience:
Bachelor’s or Master degree in related field
Supply Chain or procurement experience helpful, though not necessary",DELL,None
"Research Assistant/Associate, Health Economics","The Programme in Health Services and Systems Research, Duke-NUS Medical School, Singapore is looking for candidates with either undergraduate or masters training in economics or related disciplines to support our growing portfolio of econometric/statistical analysis and decision analytic modelling projects.
This position will report directly to Senior Health Economists in the Health Economics Lab and offers an excellent opportunity to develop and refine in demand skills in applied health economics. Successful candidates will assist in high value health economic research endeavours and perform a variety of functions, such as:
Execute econometric and other statistical analyses
Build decision trees and markov models for use in cost effectiveness analyses
Conduct literature reviews
Prepare sections of surveys, analysis plans, manuscripts, reports and grant proposals with a goal toward producing high quality research outputs
Perform other related duties assigned by the Principal Investigators in support of these efforts
Many previous RA’s have been listed as co-authors on peer-reviewed manuscripts and gone on to secure positions in top international graduate programs and Fortune 500 companies. Interested applicants should submit a cover letter explaining their interest in the position, a resume, and a writing sample to hr@duke-nus.edu.sg.
Qualifications

Job Requirements
Masters or Bachelor’s Degree in Economics
Research experience in Health Economics and Econometrics highly desirable
Experience in quantitative data and statistical analyses (preferably with health-economic data) with modelling packages such as STATA
Proficiency with Microsoft Office Suite required
Strong verbal and written communication skills in English
Able to multi-task and work productively in teams, under the supervision of senior staff
We regret that only shortlisted candidates will be notified.

Job: Research

Primary Location: Outram

Organization: Office of Research",Duke NUS graduate medical school Singapore,None
Admin / Accounts Asst > Temp for 2-3 Months,"Client: MNCLocation:  ChangiWorking Hrs:  8am – 5.30pm / Mon-Fri;Salary: Negotiable $$ on Qualification, Experience & Capability.**No quota for any pass holders**REQUIREMENTS/ RESPONSIBILITIES'O' Levels, Nitec, Higher Nitec, Diploma in any disciplineAt least 1 – 2 years working experiencePossess initiative, good working attitude and have strong sense of responsibilityTeam player with ability to work independentlyPerform other admin and accounting duties assignedTo Apply: Please send in your detailed resume directly to the email listed below with these following information or phone 6728 13141) Use MS Word format. (No PDF File)2) BioData, Country status & attach a recent photo3) State your last Drawn salary with current & previous employers4) The notice required and availability date, Range of expected salary5) Reasons for leaving each employment6) All above-requested information to be on the resume. (Max 4 pages)NOTE: Resumes without ANY of the above-requested information will NOT be considered for short-listing.** Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012Job Types: Part-time, TemporaryExperience:administrative: 1 year (Preferred)Location:Changi (Preferred)",Job Alpha Associates,None
Regional Comp & Benefits Mgr | Singapore,"Regional Comp & Benefits Mgr | Singapore
 - (19002376)

Manage the development and delivery of Compensation and Benefits (C&B) policy and practice across assigned region to meet the needs of the business. Close liaison with the Total Rewards team and the broader regional team, Payroll, Talent Acquisition and Finance functions in the assigned region. Supports the company in the assigned region on global initiatives and administration, such as annual merit planning and cycle, bonus participation and administration, and benefits support.

JOB RESPONSIBILITIES

 Managing positive relationships with the business and ensuring the reputation and regard for HR is strong with all stakeholders.

 Ensuring all C&B policies and practices are legally compliant across the region and in line with business strategy and aims.

 Analyze C&B for the region through appropriate market evaluation on both a periodic and ad hoc basis. Partnering with HR colleagues and the business to develop and deliver business cases for change as required.

 Participate in C&B surveys as assigned.

 Conduct periodic analysis of appropriate tools (e.g. salary range data, job coding, salary banding) to ensure the recruitment and HR teams are always in possession of accurate and useable information to support the business.

 Managing annual and ad hoc salary review, mandated increases, signing bonuses and bonus payments with HR colleagues and the business.
 Managing relationships with local benefit vendors to ensure best value for the business.

 Supports merger and acquisition (M&A) work as required.
 Ensuring that enquires from employees and managers are handled promptly and effectively and escalated to HR colleagues when required or directed to other teams (e.g. Payroll and Talent Acquisition).

 Facilitate quality and accuracy of data on shared systems such as PeopleSoft.

 Collecting, reporting and acting on relevant Management Information as needed in the region.

 Contributing to HR projects across the region and internationally.

 Coordinate application of C&B policies and practices in line with regulation, best practice and the HR and business strategy.

 Responsible for ongoing training as C&B to improve managers’ understanding and use of C&B.


QUALIFICATION REQUIREMENTS (please indicate if ‘preferred’)

 Significant, progressive experience in related C&B areas
 Prior experience working with benefit vendors
 Working knowledge of Microsoft products - - especially excel
 Strong communication and collaboration skills

Years of experience required: 5 years of progressive compensation & benefits experience

Disclaimer:
Tasks, duties, and responsibilities as listed in this job description are not exhaustive. The Company, at its sole discretion and with no prior notice, may assign other tasks, duties, and job responsibilities. Equivalent experience, skills, and/or education will also be considered so qualifications of incumbents may differ from those listed in the Job Description. The Company, at its sole discretion, will determine what constitutes as equivalent to the qualifications described above. Further, nothing contained herein should be construed to create an employment contract. Occasionally, required skills/experiences for jobs are expressed in brief terms. Any language contained herein is intended to fully comply with all obligations imposed by the legislation of each country in which it operates, including the implementation of the EU Equality Directive, in relation to the recruitment and employment of its employees. The Company is committed to compliance with the Americans with Disabilities Act, including the provision of reasonable accommodations, when appropriate, to assist employees or applicants to perform the essential functions of the job.


Primary Location Asia Pacific - SGP-Singapore-21-Biopolis-Road
Job Human Resources
Schedule Full-time
Travel No
Employee Status Regular",Syneos Health Clinical,None
Intern - Lean,"Role Summary:
GE's internships offer a unique opportunity to gain hands-on experience through challenging projects, learn from some of the brightest and most innovative minds in the business and network with a variety of talented professionals.

Essential Responsibilities:
Key responsibilities include (but are not limited to):
Participate in the shop’s 3P lean transformation activities and learn how to establish product flow using lean toolsConduct shop floor observation & data collection to identify wastes and facilitate lean flow set upEstablish standard work & 5S for repair cells to drive development of a lean management systemManage & maintain repair lead time & productivity trackingAssist with the planning & execution of lean action work outs

Qualifications/Requirements:
Currently pursuing a Degree in Industrial, Mechanical, Manufacturing, Aerospace and/or Material EngineeringCompetent in MS Office applicationsPossess good communication skillsAbility to work independently and actively in a shop environmentInterested to learn about lean manufacturing

About Us:
GE Power is a world leader in power generation with deep domain expertise that helps customers deliver electricity from a wide spectrum of fuel sources. We are transforming the electricity industry with the digital power plant, the world’s largest & most efficient gas turbine, full balance of plant solutions and our data-leveraging software. Our innovative technologies and digital offerings help make power and water more affordable, reliable, accessible and sustainable.

Locations: Singapore; Singapore",General Electric,None
Business Analytics Manager/ Senior Manager (SG),"What you'll do?
Strategize and work with tech team on data collection to enable business decisions, such as operations optimization and product mix strategies
Analyze business data regularly to identify business opportunities and operational improvement opportunities
Conduct in-depth analytical studies combining external research data and internal business analytics to facilitate senior management decisions
Collaborate with tech and business lines to automate operational processes based on business analysis insights such as inventory management, service level monitoring etc
Design comprehensive and user friendly dashboard for business line teams
Drive budgeting processes and engage business line teams
What you'll need?
At least 5 years of experience in business analysis
Experience in programming or analytic tools such as SQL, Python, Access, VBA, Google Data Studio.
Experience in travel, ecommerce, or tech startups is a plus
Track record of successfully driving cross departmental projects is preferred
Fluent spoken and written English and Chinese
Bachelor's degree in Mathematics, Statistics, Computer Science, Engineering or above
Eager to work in small team and fast-paced environment
A start-up attitude – highly collaborative with an entrepreneurial, roll-up-your sleeves attitude that's not afraid to work independently when required
Globally-minded and comfortable working with people from different cultural background and in different time zones
What you'll get?
An environment that values honesty, transparency and respect with awesome co-workers across Asia
The rare opportunity to be part of building a global travel brand, ensuring its success and evolving it for the future",Klook,None
KYC Client Onboarding Analyst,"Your role
Are you incredibly organized with an eye for detail? Do you have a high client service orientation and a high risk awareness? We're looking for someone like that to:
– Work on onboarding cases across the IB. Advise and explain KYC requirements and handhold the client or client advisor through the onboarding and account opening process.
– Help update the client onboarding tracker which will help the Team Lead to liaise with Product Business Managers for effective pipeline management and prioritization of cases. Support the process of EOD controls for request log and exception closure.
– Responsible for timely reply on client queries and act as a client relationship manager. Facilitate exceptional handling on risk-based approach, and coordinate with Business and FinCrime for signoff.
– Perform background check screening on the client. Make justifications on negative news found for hits clearance and assess other risk factors such as PEP, Sanctions, Vulnerable business, etc.
– Capture and input client static data in IB Onboarding system, which are in sync with document records and evidencing. Comfortable navigating UBS onboarding systems to look for client data, and able to perform data analysis at the account level to understand what the client is entitled to trade.
– Think flexibly to propose new ideas and contribute to continuous improvement of processes and services.
Your team
You’ll be working in the Onboarding team in Singapore. We conduct AML KYC/CDD on corporate clients in line with the regulatory requirements and UBS group policies. The scope of work includes liaising with clients, business, and internal stakeholders to ensure that the account can be opened upon completion of KYC. You are at the center of the execution of onboarding requirements and you will act as a business enabler to help UBS generate revenue
Your expertise
You have:
– Proven experience in client service (ideally in banking). Highly proactive and diligent in follow up and follow through. Client focused, organized at bundling of requests and sensible on turnaround time.
– Broad understanding of KYC/AML and have a general sense of risk awareness. Risk conscious with emphasis on sensitive data sharing.

You are:
– A self-starter who can work well.
– A skilled written and verbal communicator. Can collaborate well with different functions and have the ability to manage stakeholder expectation.
– A dedicated team player with a can-do attitude and eagerness to learn.
– An effective worker who is able to multi-task and perform under pressure.
LI-UBS
Your colleagues
About us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",UBS,None
College Intern,"Hewlett Packard Enterprise is an industry leading Technology Company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.
At Hewlett Packard Enterprise, we don't just believe in the power of technology, we believe in the power of people when technology works for you. We believe in applying new thinking and ideas to improve the way our customers live and work.
HPE APJ Innovation Center Singaporefocuses on providing customers with world class products and solutions in the big data analytics space, using state-of-the-art big data technologies and advanced analytics techniques.
Responsibilities:
The candidates design, develop, and integrate software programs for products, engines, applications, solutions and systems, also troubleshoot and debug software programs for software enhancements and its applications.
Education and Experience:
School of Computer Science, Information Technology, Computer Engineering or equivalent
Knowledge and Skills:
Passion in software design, programming and debugging
Ability to effectively communicate product design with detailed approach and specifications
Knowledge in overall software systems for products and solutions in a software development cycle
Knowledge in various operating systems (Linux and Windows) environment deployment
Knowledge in database & SQL concept
Knowledge in object oriented languages such as Java and C#, etc
Knowledge in Data structure and OOP
Knowledge in software unit testing
Good analytical and problem solving skills
Disect problems into manageable pieces and follow an organized approach to resolve them
Ability to work independently and also in a team
1046158",Hewlett Packard Enterprise,None
Senior Recruitment Partner - Corporate Functions,"Senior Recruitment Partner - Corporate Functions # 130611
Singapore-Singapore-Singapore | Full-time | Corporate Functions | Job ID 130611

Credit Suisse’s Experienced and Campus Recruitment team are recruitment experts and Credit Suisse brand ambassadors, who strategically partner with the business to solve recruitment challenges, provide direction as a control function and make valuable contributions to hiring processes. This support is end to end from planning through execution and across levels from entry level to executive hiring.
We connect Credit Suisse with passionate and talented people, who deliver results and embody our culture.


We pride ourselves in our ability to deliver in a dynamic and engaging environment. We are committed to investing and developing our people and building opportunities for growth and progression.


You will be a member of the Experienced and Campus Recruitment team, responsible for creatively identifying and engaging top talent, while improving and contributing to the employer brand and scaling our recruitment practice as we grow our organization. You will partner with our Divisional / Function Leadership team to attract and hire extraordinary talent into the firm.
This role reports into the Experienced Recruitment Team Lead based in Singapore and will cover Experienced hires across the APAC region. You will be part of a broader team based in Singapore, Hong Kong and Pune, covering APAC Division, Front Office and Corporate Functions.


The team in APAC is supported by centralized global services providing administrative and interview scheduling assistance enabling you to focus on delivering a consultative service to your client group and developing deep subject matter knowledge.


About the role
Your responsibilities will include:

developing and maintaining strong working relationships with the executive leadership team, external search partners, agencies & diversity experts where appropriate, candidate and external community organizations to build a partnership that yields success, trust and credibility
providing advice and direction to hiring managers and candidates about the entire hiring process, building those relationships effectively being a trusted advisor to both the business and candidates
conducting thorough intake sessions to understand the business requirements and translate into a solution based recruiting strategy; develop an engaging value proposition that can be communicated to the candidates to sell the opportunities of the role and Credit Suisse
crafting sourcing strategies that tap into internal talent pools, diverse markets and external matches; actively providing qualified internal prospects and ensuring cost effective sourcing channels
providing solutions, including assessment recommendations to narrow the candidate pools to find the best CS fit and structured interviews expertise to support objective candidate feedback
providing counsel to hiring managers on compensation in line with salary bands, peer ranges, market data and direct peer comparisons and actively participating in the hiring decision process by providing feedback on candidates and recommendation for hire
ensuring effective candidate management providing detailed review of role, overview of compensation & benefits, key messages, resignation coaching and assisting with closing
continually assess and measure our delivery and adjust the strategy accordingly
providing training, knowledge sharing, coaching and mentoring as a recruitment subject matter authority
operating within our Conduct & Ethic standards, be aware of operational risk, raising when any identified with a focus on striving for operational excellence and working with the wider team on constant improvement.


*LI-CSJOB*


To be successful in this role you will have:

passion about delivering the best results for Credit Suisse
significant hands-on in-house recruitment experience recruiting banking professionals
understanding of the local market and country rules & regulations as they relate to recruitment
excellent organizational, written and verbal interpersonal skills with a sincere commitment to regular communication with your hiring managers
high level of integrity, sense of urgency, attention to detail and quality standards – with the ability to work under pressure and meet deadlines effectively
Demonstrable relationship building, influence, negotiation and consultation skills with a track record in closing candidates",Credit Suisse,None
Financial Planning & Analysis (FP&A) Manager,"Here at TradeGecko, we’re building the world’s leading order and inventory management platform by redefining B2B commerce operations, connecting the global supply chain and making boring business software a thing of the past.
We’re always being asked how we’ve gotten such quick traction in the market and the answer is simple - we hire relentlessly resourceful individuals, hackers, freethinkers and people that make it their mission to make our customers even more awesome.
Join one of the region’s growing startups and we’ll give you the tools, competitive package and surround you with the smartest coworkers.

The Role:
This is an incredible opportunity for a highly motivated FP&A Manager to help drive cross-functional collaboration and facilitate the success of our organization. In this role, you will be reporting into the Finance Director / CFO and working in a dynamic Finance team to manage budgeting/forecasting processes, provide decision support and business intelligence for TradeGecko and participate in broader strategic finance team projects and initiatives such as product pricing and analysis, systems and process improvement and investor/board reporting.
Requirements
Responsibilities:
Supporting the budgeting, forecasting and target setting processes for the global operations of TradeGecko
Manage the revenue and cash forecasting process, both from a systems perspective as well as extracting, analyzing and modeling scenarios/data
Work cross functionally with Go-To-Market team and Product to gather and communicate data and insights to identify key value drivers and opportunities for growth
Prepare weekly, monthly and quarterly dashboards and explaining variances between forecast and actual business performance
Continually improve the Company’s financial management processes by implementing tighter controls: data integrity, process improvement & rigorous analysis
Manage business overhead costs and identifying opportunities for costs optimization
Preparation of investor reports and board decks for our external stakeholders
Reviewing business cases and developing financial models to assess the financial feasibility of key strategic initiatives - e.g. pricing, and growth related experiments
Supporting with other ad-hoc projects as assigned by the Finance Director and CFO
Requirements for our FP&A Manager:
Bachelor or Master’s degree in Business Administration or Finance required, with a CPA or CFA certification
Minimum 5 years’ experience in FP&A
SaaS or tech experience is an asset
Big 4 experience is an asset
Strong quantitative, analytical and problem-solving skills, combined with a high level of initiative and ability to thrive in a multi-tasking, dynamic environment
Has strong analytical, communication and interpersonal skills
Able to work collaboratively with others across various business environments, cultures and teams
Excellent presentation, communication and influencing skills
Ability to communicate with top management
Benefits
What's in it for you?
Work with a multinational, multi-talented group of marketers, sales people, engineers, designers
Opportunity to learn and grow in a fast growing, dynamic, global company
Opportunity to shine - we make decisions together and we grow together
Competitive salary and a benefits plan
If you think you have what it takes to be the next Gecko, apply now!",TradeGecko Pte. Ltd.,None
Senior/Total Rewards Specialist,"The Senior/Total Rewards Specialist supports the SEA Rewards function for the region in the implementation and on-going success of the company’s rewards programs. The role ensures that programs are aligned with the business objectives and are competitive within the industry. The position will report functionally to the Total Rewards Manager, SEA.

The Senior/Total Rewards Specialist is responsible for supporting the local HR on the development, integration, implementation, and in partnership, communication of APAC reward programs for approximately 1,900+ employees in SEA

Duties and Responsibilities:
1. Support SEA Rewards Manager and with Corporate Global Compensation and Global Benefits counterparts in the innovative design, implementation, and management of compensation programs and initiatives which include base and variable pay programs and benefits programs including health care, group and retirement plans

2. Works closely with regional HR team and Total Rewards Center of Excellence (COE) team to ensure that compensation and benefits programs are competitive and aligned with the global compensation framework (providing consulting on senior level hires, incentive plan design, position and pay program evaluation and benchmarking) and global benefits strategy

3. Develop partnerships with the HR business partners, business leadership and Talent Acquisition teams to identify and solve compensation related business challenges and provide compensation consulting expertise

4. Support the development, alignment and administration of base pay strategies, policies and programs including: job evaluation, market pricing, salary surveys, salary structure and increase recommendations

5. Support job classification and career banding for the region as well as integration of newly acquired employees

6. Support the annual Compensation Planning process for the region, including salary increases, incentive awards and equity awards

7. Hands on involvement with the Compensation Management System (Workday), Market Pricing System (MarketPay) and associated testing, training, and communications

8. Assist HR Service Delivery Partners in SEA to develop best practices and provide superior compensation services to our clients

9. Conduct research, identify benchmark resources, analyze data and identify trends in the region requiring a broad understanding of compensation techniques, methods, and practices and recommend business solutions

10. Ensure all compensation and benefits programs and practices are in compliance with regulatory requirements, providing recommendation as new regulations are enacted

11. Seek to continuously improve link between pay and performance through program improvement and communication/education

12. Stay abreast of current compensation and benefits trends and best practices and continually review against current practices, procedures and systems

13. Other duties as assigned or required, will work on APAC-wide initiatives, executive compensation or other global compensation or global benefits initiatives

Minimum Requirements

Education & Experience

+ 3+ years’ experience managing compensation and benefits/or total rewards programs across multiple countries

+ Track record in delivering base pay and variable pay and benefits programs in a large organization

+ BA/BS degree in Human Resources, Business, Accounting or related discipline

Technical Skills

+ Advanced knowledge of MS Office and expertise is essential

+ Compensation systems experience is strongly preferred, demonstrated by either several years of system usage and/or participation as a team member in system design and implementation

+ Ability to create automated tools/models to enhance analysis in support of compensation programs

Other Skills/Attributes

+ Ability to build effective relationships and establish credibility with HR team

+ Successful track record managing and driving annual remuneration processes

+ Ability to approach projects from a global perspective, factoring in cultural differences and norms

+ Basic understanding of the intersection between finance, compensation, benefits, data modelling and business strategy

+ Strong verbal and written communication skills, including the ability to present to a range of audiences and to provide hands-on training in technical compensation and benefits systems and processes.

+ Dynamic and innovative approach to compensation, benefits and communication.

+ Excellent time management skills. Must be able to handle multiple projects with overlapping time frames and cope with shifting priorities

+ Analytical skills to present complex data in a way appropriate to the diverse audiences.

+ Ability to deal with a demanding fast paced work environment, retaining a positive and action-oriented attitude.

+ Must maintain high level of confidentiality and be able to manage extremely sensitive data.

Preferred Qualifications

Education & Experience

+ 3+ years’ experience managing compensation and benefits/or total rewards programs across multiple countries

+ Track record in delivering base pay and variable pay and benefits programs in a large organization

+ BA/BS degree in Human Resources, Business, Accounting or related discipline

What We Offer

When you join AECOM, you become part of a company that is

pioneering the future . Our teams around the world are involved in some of the most cutting-edge and innovative projects and programs of our time, addressing the big challenges of today and shaping the built environment for generations to come. We ensure a workplace that encourages growth, flexibility and creativity, as well as a company culture that champions

inclusion, diversity and overall

employee well-being through programs supported by company leadership. Our

core values define who we are, how we act and what we aspire to, which comes down to not only

delivering a better world , but working to “make amazing happen” in each neighborhood, community and city we touch. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours.",AECOM,None
Material/Polymer Scientist,"Structo is a Global 3D printing solutions provider headquartered in Singapore. We design, develop and build 3D printers tailored for dental applications using our unique proprietary MSLA technology. We believe our technology will revolutionize not only the Dental Industry but also the wider consumer industry as we roll it out to other categories. 3D Printing has the potential to transform every aspect of our lives, it's only limitation is our own imagination. We are a diverse team in every aspect, with people of all ages and nationalities working together in various fields such as hardware design, software development and material science. This diversity allows us to be at the forefront of this exciting technology.Introduction Requirement for a Material/Polymer Scientist to develop novel 3D printing materials for dental applications at Structo Pte. Ltd. Structo is a Singapore-based technology company making high-end 3D printers and materials for the dental industry with business across 4 continents. We have a team of 80 over full-time staff in various positions across hardware, materials and software disciplines.Responsibilities: Develop and/or perform all formulation related activities; includes concept and planning of novel formulations, modification of existing formulation, batch scale formulation, monitoring, verification etc.Perform lab scale 3D printing, post-processing, application tests to validate design and progress on iterative testing of new materialsDocument test results in accordance to ISO 13485, specifications, and final formula procedures in a standard format for inclusion from batch scale to production runsCommunicate in a timely fashion, all information regarding formulation, project status, material research, results, etc. to the members in the teamConduct intellectual searches for technical information and literature survey through a variety of resources, including online portals and servicesWrite and/or review procedures, scientific case studies to support product development activities (may involve use of Endnote, Origin Pro, Adobe illustrator, AUTOCAD, Solidworks, Netfab etc.)Prepare research proposals including analytical and technical data for development of new products including characterization of material propertiesKeep abreast of current trends, practices, developments, and regulatory changes, which would impact products, procedures, or formulationEnsure the maintenance and/or adherence to good laboratory practices and all safety regulations both in laboratory and manufacturing areasProvide technical knowledge in guiding others in the R&D team pertaining to field of expertiseParticipate in process improvement and product investigations of biocompatible materialsConstruct experimental studies intended to provide supporting data or to resolve technical issues encountered during a projectAssists in the training, development of personnel when requiredRequirements: PhD in Polymer Engineering, Material Science, Polymer Chemistry or relevant background in other polymer related sciences with at least 3 years of experience in R&D.Sufficient knowledge of functional organic and inorganic materials, acrylate-epoxy-urethanesilicone chemistry, co-polymers, conjugated/hybrid polymers and their applicationsShould have strong knowledge of structure-property relationships of polymersExperience in curing kinetics of UV curable resins and its effect on shrinkage, mechanical properties, etc. is desirableExperience in the UV coatings or paint or other polymer allied industries is a plusAbility to coordinate and communicate within the team with good interpersonal skillsAbility to conduct experiments and interpret data on material formulation and development of Class I & II medical grade materialsPrior knowledge ono Materials characterization and analysis (UV-vis, FT-IR, TGA, DMA, Raman)o Surface characterizations (TEM, SEM, Stylus profiler and AFM)o Material property testing such as tensile, flexure, compression, impact, hardness, thermal and water resistance, residual polymer, ash content, water sorption, shrinkage, warpage, colour, viscosity etc.)Good grasp of current trends and product portfolios in 3D printingCapable of working independently and at creative capacityGood critical thinking and problem solving skillsHighly motivated and self-drivenExcellent written and oral communication skills in EnglishAbility to work in a startup environmentWork environmentThis job operates in a professional B2 industrial environment with a R&D laboratory and production facility managed at the premises.This is a full-time position. Work hours are Monday - Friday, 9:00 a.m. - 6.00 p.m.Job Type: Full-timeSalary: $4,500.00 to $6,500.00 /monthExperience:R&D: 3 years (Required)industrial working: 2 years (Required)Education:Doctorate (Required)Location:Singapore (Required)",Structo Pte Ltd,None
